postion,fname,lname,country,dob,scores
1,Ennio,Morricone,ITALY,11-10-1928,70
2,Max,Steiner,USA,04-10-1888,300
3,John,Williams,USA,02-08-1932,100
4,Bernard,Herrmann,USA,06-29-1911,30
5,Nino,Rota,ITALY,11-03-1911,150
6,Tōru,Takemitsu,JAPAN,90
7,Michel,Legrand,FRANCE,02-24-1932,200
8,Alan,Menken,USA,07-22-1949,50
9,Ilayaraja,,INDIA,06-02-1943,1000
10,Jerry,Goldsmith,USA,02-10-1929,50
11,Maurice,Jarre,FRANCE,09-13-1924,50
12,John,Barry,USA,11-03-1933,50
13,Hans,Zimmer,GERMANY,09-12-1957,150
14,Joe,Hisaishi,JAPAN,12-06-1950,100
15,James,Horner,USA,08-14-1953,100
16,Georges,Delerue,USA,03-12-1925,350
17,Dimitri,Tiomkin,UK,05-10-1894,50
18,Elmer,Bernstein,USA,04-04-1922,150
19,Howard,Shore,CANADA,10-18-1946,80
20,Thomas,Newman,USA,10-20-1955,100
21,Danny,Elfman,USA,05-29-1953,50
22,Philip,Glass,USA,01-31-1937,50
23,James,Newton-Howard,USA,06-09-1951,100
24,Vangelis,,GREECE,03-29-1943,50
25,Alan,Silvestri,USA,03-26-1950,50
