Product,Region,Vertical,Close Date,Distributor,Discount Level,Margin
Ball Bea-rings,United Kingdom,Manufacturing,1/1/15,Nisizu,null,91
Belt drives,Germany,Public Sector,4/1/15,Nisizu,Silver,105
Ball Bearings,Germany,Defense,7/1/15,Nisizu,null,1
Brakes,Western United States,Manufacturing,1/1/15,Nokemi,null,17
Brakes,Western United States,Manufacturing,4/1/15,Nokemi,Gold,0
Wheel Bearings,India,Automotive,7/1/15,Nokemi,Gold,1
Wheel Bearings,Japan,Trucking,10/1/15,Nokemi,Gold,23
Wheel Bearings,Japan,Trucking,1/1/15,Nokemi,Gold,5
Wheel Bearings,Middle East,Wholesale Distribution,10/1/15,Nisizu,Gold,0
Ball Bea-rings,Middle East,Wholesale Distribution,1/1/15,Nisizu,Gold,10
Wheel Bearings,India,Utilities,4/1/15,Nokemi,Gold,100
Hybrid Motors,Africa,Automotive,7/1/15,Nokemi,Silver,14
Alternators,Latin America,Automotive,10/1/15,Nokemi,Gold,18
Rotor Screws,Middle East,Chemicals,1/1/15,Nokemi,Gold,99
Clutches,Middle East,Chemicals,4/1/15,Nokemi,Gold,2
Wheel Bearings,Middle East,Trucking,7/1/15,Nokemi,Gold,23
Alternators,Western United States,Manufacturing,4/1/15,Nisizu,Gold,3
Brake Pads,Latin America,Utilities,1/1/15,APPLIC IND,Gold,16
Wheel Bearings,Africa,Consumer Products,1/1/15,DIMAGO,Gold,13
Wheel Bearings,Africa,Consumer Products,4/1/15,DIMAGO,Gold,104
Wheel Bearings,Japan,Chemicals,10/1/15,Nokemi,Silver,14
Rotor Screws,South East Asia,Public Sector,4/1/15,APPLIC IND,Gold,9
Alternators,South East Asia,Public Sector,7/1/15,APPLIC IND,Gold,10
Wiper Gears,South East Asia,Public Sector,10/1/15,APPLIC IND,Gold,9
Alternators,South East Asia,Public Sector,1/1/15,APPLIC IND,Silver,12
Ball Bearings,Latin America,Healthcare,7/1/15,Nisizu,Gold,112
Clutches,Latin America,Healthcare,10/1/15,Nisizu,Gold,116
Clutches,Africa,Consumer Products,1/1/15,Nisizu,Gold,13
Wheel Bearings,United Kingdom,Manufacturing,1/1/15,Nokemi,Gold,21
Wiper Gears,United Kingdom,Manufacturing,4/1/15,Nokemi,Gold,7
Ball Bearings,Italy,Consumer Products,4/1/15,Nisizu,Silver,88
Brake Pads,Italy,Consumer Products,7/1/15,Nisizu,Gold,2
Ball Bearings,Italy,Consumer Products,10/1/15,Nisizu,Gold,34
Ball Bearings,Italy,Consumer Products,4/1/15,APPLIC IND,Gold,86
Wheel Bearings,Latin America,Public Sector,1/1/15,BDINC,Gold,13
Wiper Gears,Latin America,Public Sector,4/1/15,BDINC,Gold,5
Brake Pads,Latin America,Public Sector,7/1/15,BDINC,Gold,6
Hybrid Motors,Latin America,Public Sector,10/1/15,BDINC,Gold,13
Lift Supports,Latin America,Public Sector,1/1/15,BDINC,Gold,7
Ball Bearings,Latin America,Public Sector,4/1/15,BDINC,Silver,25
Clutches,Latin America,Public Sector,7/1/15,BDINC,Gold,11
Planetary Gears,Latin America,Public Sector,10/1/15,BDINC,Gold,9
Wheel Bearings,France,Manufacturing,7/1/15,Nokemi,Gold,6
Wheel Bearings,France,Manufacturing,10/1/15,Nokemi,Gold,2
Ball Bearings,Middle East,Retail,1/1/15,BDINC,Silver,102
Clutches,Middle East,Retail,4/1/15,BDINC,Silver,91
Planetary Gears,Middle East,Retail,7/1/15,BDINC,Silver,98
Ball Bearings,Middle East,Retail,10/1/15,BDINC,Gold,14
Clutches,Middle East,Retail,1/1/15,BDINC,Gold,27
Planetary Gears,Middle East,Retail,4/1/15,BDINC,Gold,4
Wheel Bearings,Latin America,Manufacturing,1/1/15,Nokemi,Silver,31
Planetary Gears,India,Insurance,4/1/15,Nokemi,Gold,26
