"AccountScore","Account Id","BillingState","CloseDate","Division","Industry","Ownership","Rating","StartDate","Type","CLV"
"C",15865,"Texas","2014-09-01","Ground Vehicle","Biotechnology","Private","Warm","2014-07-04","Reseller",19200
"C",9591,"Texas","2014-05-15","Ground Vehicle","Retail","Private","Cold","2014-03-11","Customer",19200
"H",1209,"Texas","2015-07-10","Compliance","Shipping","Public","Hot","2015-05-18","Customer",19640
"G",10171,"California","2015-03-31","Ground Vehicle","Hospitality","Private","Hot","2015-01-31","Customer",19680
"A",43322,"California","2015-09-28","Standard Materials","Hospitality","Public","Cold","2015-08-29","Reseller",19160
"C",42913,"Texas","2015-05-13","Standard Materials","Apparel","Public","Hot","2015-04-03","Competitor",19640
"C",3031,"Texas","2016-02-20","Compliance","Hospitality","Public","Warm","2015-12-18","Consulting",20640
"C",19160,"Texas","2014-10-04","Miniaturized Parts","Consulting","Public","Hot","2014-08-17","Competitor",17890
"J",43711,"New York","2015-10-24","Standard Materials","Apparel","Public","Cold","2015-09-21","Customer",19160
"A",21722,"Texas","2015-06-26","Engine Parts","Consulting","Public","Cold","2015-05-28","Partner",20640
"B",11699,"Texas","2015-07-24","Ground Vehicle","Retail","Private","Cold","2015-05-12","Customer",19200
"B",3363,"California","2015-10-20","Compliance","Technology","Private","Hot","2015-08-15","Competitor",18640
"F",19336,"New York","2016-02-12","Miniaturized Parts","Technology","Private","Hot","2015-11-26","Competitor",17890
"C",9831,"Texas","2014-08-17","Ground Vehicle","Consulting","Public","Hot","2014-06-17","Customer",19680
"C",18913,"Texas","2015-10-25","Miniaturized Parts","Banking","Public","Hot","2015-09-09","Customer",17890
"C",14140,"Texas","2014-10-25","Ground Vehicle","Retail","Private","Cold","2014-09-07","Customer",19200
"B",3072,"Texas","2014-09-19","Compliance","Hospitality","Public","Hot","2014-06-21","Competitor",31220
"E",3508,"Texas","2015-03-24","Compliance","Apparel","Public","Hot","2015-01-18","Customer",19640
"A",16207,"Texas","2015-03-19","Ground Vehicle","Apparel","Public","Hot","2015-01-24","Competitor",19200
"F",51350,"Texas","2016-02-28","Raw Materials","Technology","Public","Hot","2015-12-03","Customer",22120
"F",11319,"California","2015-12-08","Ground Vehicle","Apparel","Public","Hot","2015-09-18","Customer",19200
"F",15576,"Texas","2016-03-08","Ground Vehicle","Manufacturing","Private","Hot","2015-12-15","Customer",22200
"C",42803,"New York","2015-01-30","Standard Materials","Apparel","Public","Cold","2014-12-24","Customer",22160
"E",6770,"Texas","2014-07-04","Mapping","Hospitality","Private","Warm","2014-04-27","Consulting",23700
"B",49892,"Texas","2016-03-02","Standard Hardware","Apparel","Private","Warm","2015-12-15","Customer",20230
"B",16416,"California","2015-02-04","Ground Vehicle","Shipping","Public","Cold","2014-11-17","Customer",19200
"C",49371,"Texas","2015-08-04","Standard Hardware","Retail","Private","Warm","2015-06-17","Partner",14230
"B",681,"Texas","2015-08-28","Naval","Banking","Private","Hot","2015-06-13","Competitor",14880
"B",18837,"Texas","2015-11-29","Miniaturized Parts","Hospitality","Public","Cold","2015-09-20","Customer",22890
"G",9234,"California","2015-04-18","Ground Vehicle","Shipping","Private","Cold","2015-01-24","Customer",19200
"B",12544,"Texas","2016-03-01","Ground Vehicle","Hospitality","Public","Warm","2015-12-15","Customer",19200
"B",8763,"California","2015-06-08","Ground Vehicle","Technology","Public","Hot","2015-03-24","Customer",19200
"A",21918,"New York","2015-08-22","Engine Parts","Shipping","Public","Cold","2015-07-24","Customer",23160
"A",24272,"New York","2015-09-30","Frames","Apparel","Public","Hot","2015-08-01","Customer",20680
"F",51539,"Texas","2016-02-05","Raw Materials","Hospitality","Public","Hot","2015-11-10","Customer",24120
"I",14034,"California","2015-10-30","Ground Vehicle","Retail","Public","Cold","2015-08-29","Customer",19200
"H",7268,"Texas","2015-01-20","Mapping","Consulting","Public","Cold","2014-11-18","Consulting",33060
"C",21821,"Texas","2014-08-12","Engine Parts","Hospitality","Public","Hot","2014-07-20","Customer",19640
"A",3859,"Texas","2015-10-10","Compliance","Hospitality","Public","Hot","2015-08-07","Customer",24220
