,Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
6,9fae7df4-169d-489b-afe4-0f3d752542ed,660673,Landing Page Submission,Google,No,No,1,2.0,1640,2.0,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
22,8fd38b83-5c32-4277-bcfb-499f34a01c56,660471,Landing Page Submission,Google,No,No,1,1.0,1013,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
27,6d143c0e-abae-425f-a2c0-52c2946cbd45,660424,Landing Page Submission,Google,No,No,1,6.0,1315,6.0,Email Opened,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
37,e60a54bc-0816-430e-a99a-019a8b5a27e5,660267,Landing Page Submission,Google,No,No,1,5.0,563,5.0,Email Opened,India,Finance Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
39,d6686032-c65e-4495-a0f4-ba7471209356,660236,Landing Page Submission,Google,No,No,1,4.0,25,4.0,Email Opened,India,Operations Management,Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
41,3ec75559-60f8-46f0-9198-bd3d05c464aa,660222,Landing Page Submission,Organic Search,Yes,No,0,7.0,38,7.0,Unsubscribed,India,Retail Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Mumbai,No,Yes,Unsubscribed
56,59e722da-edff-43d9-af61-f5c8bcc986c4,659998,Landing Page Submission,Referral Sites,No,No,1,13.0,436,13.0,Form Submitted on Website,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Low in Relevance,No,No,Potential Lead,Other Metro Cities,No,No,Modified
60,b90b70b9-5e60-41a5-87da-5eb753fc3391,659931,API,Google,No,No,0,4.0,213,4.0,Form Submitted on Website,India,International Business,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
76,a739f33a-7d4d-4c4e-9c9c-3c30e1f48940,659727,Landing Page Submission,Google,No,No,1,6.0,595,3.0,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
135,73413bd6-e089-4b8f-9359-ad5825101790,659146,Landing Page Submission,Google,No,No,1,5.0,1091,5.0,Unreachable,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Unreachable
142,4cc6f35b-bba3-4e7a-90fa-a2a1764a10bb,659106,Landing Page Submission,Google,No,No,1,5.0,1603,5.0,Email Opened,India,Operations Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
148,08424302-ffe0-4c2d-be4f-d099f75a3eb5,659057,Landing Page Submission,Google,No,No,0,5.0,232,2.5,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Might be,No,No,Other Leads,Other Cities,No,No,Email Opened
164,a732de28-542e-48c4-abe1-af4067853627,658793,Landing Page Submission,Google,No,No,1,6.0,919,6.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
221,0e3d5534-5cee-4977-a3ec-871a1077bdba,658188,Landing Page Submission,Google,No,No,0,1.0,123,1.0,Converted to Lead,India,Others,Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Might be,No,No,Other Leads,Other Cities,No,No,Modified
276,2f4e048a-af10-42a8-a895-f3de17ecfaec,657477,Landing Page Submission,Google,No,No,1,4.0,228,4.0,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
282,65a06b69-76c5-41f6-9fc1-47d7871721dc,657421,Landing Page Submission,Google,No,No,0,8.0,43,8.0,Olark Chat Conversation,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Might be,No,No,Other Leads,Mumbai,No,No,Modified
319,292178c7-d5fa-4a05-9b94-d0189dfc75d9,657033,API,Google,No,No,1,4.0,1088,4.0,Page Visited on Website,India,Supply Chain Management,Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
331,d4dd872b-14e7-4e2e-81ad-52e62ef19ce3,656911,Landing Page Submission,Direct Traffic,No,No,1,7.0,901,7.0,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
347,f84b9a55-321d-488e-a4da-80a37dd121f1,656723,Landing Page Submission,Google,No,No,0,2.0,43,2.0,Form Submitted on Website,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Potential Lead,Mumbai,No,No,Modified
370,ea8cff4f-7ddb-4d66-bb10-8b71027539ef,656511,Landing Page Submission,Google,No,No,1,4.0,1226,4.0,Email Opened,India,Finance Management,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
406,bbfb5e1a-886f-4a84-b5f3-fd63d3e52445,656176,Landing Page Submission,Google,No,No,1,10.0,1128,1.43,Email Opened,India,Marketing Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,Yes,Email Opened
430,eae23d93-8dfe-4ba0-bf50-21fcd02a3237,655766,Landing Page Submission,Google,No,No,1,8.0,235,8.0,Email Opened,India,Marketing Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
438,fe7f9c4b-8501-4c6e-ac5d-9f4152249d19,655665,Landing Page Submission,Google,No,No,1,9.0,1468,9.0,Page Visited on Website,India,E-Business,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
