text,label
ஏற்றுமதியை நம்பியுள்ள நாடுகளுக்குத்தான் இதனால் பாதிப்பு. உள்நாட்டிலேயே தேவை அதிகமாக உள்ள இந்தியா போன்ற மக்கள் தொகை அதிகம் கொண்ட வளரும் பொருளாதார நாட்டில் பிரச்சினை ஏற்படாது என்று அவர் திட்டவட்டமாகக் கூறினார்.,business
"* ""ரயிலில் தொங்கிக் கொண்டே சண்டையிடுவது போன்ற காட்சிகளில் நடித்திருக்கிறார் தனுஷ். அதனைப் பார்க்கும் போது பயமாக இருக்கும். அவர் மட்டுமன்றி சண்டை பயிற்சியாளர்கள் அனைவருமே நிறைய ரிஸ்க் எடுத்திருக்கிறோம்"" என்று தெரிவித்தார் சண்டைப்பயிற்ச்சி இயக்குநர் ஸ்டண்ட் சிவா.",tamil-cinema
"செளந்தர்ய லஹரி, லலிதா சகஸ்ரநாமம், சூக்தம், பூ சூக்தம், நீளா சூக்தம், இந்திரன் கூறிய மகாலஷ்மி அஷ்டகம், ஆதிசங்கரர் அருளிய மகாலஷ்மி ஸ்தோத்திரம் ஆகியவற்றில் இயன்றதை இல்லத்தாரே சொல்லலாம். மேலும் இதனைச் சொல்ல வல்லாரைக் கொண்டு இல்லத்தில் பாராயணம் செய்யலாம்.",spirituality
" ‘கடவுளே... என் சிவனே... எனக்கு நல்ல குருவை அடையாளம் காட்டு’ என வேண்டினான். அங்கே... அண்டமாய், பேரண்டமாய், வெளியாய், வெட்டவெளியாய், ஏகாந்த வெளியாய் அந்தச் சிறுவனுக்குக் காட்சி தந்தார் சிவபெருமான்.",spirituality
"'அப்பா' படம் வசனங்களாலேயே நகர்கிறது. காட்சிப்படுத்துதல் இல்லை என்றும் சிலரால் சொல்லப்பட்டது. ஆனால், சிறுவர்களின் உலகை பக்கத்தில் இருந்து பார்த்து அறிவுரை சொல்வதைப் போல சமுத்திரக்கனி பதிவு செய்த விதம் அக்கறை மிக்கது என்று பெரும்பாலானவர்கள் கூறியதும் கவனிக்கத்தக்கது.",tamil-cinema
"ஆனால், ஒன்றை மட்டும் சொல்ல விரும்புகிறேன். போராடுகிற எல்லோரும் அனிதாவை தங்கையாகப் பார்க்கிறார்கள். ரஞ்சித் தலித்தாகப் பார்க்கிறார். இது அவர் சிந்தனைக்கும், பேச்சுக்கும் ஆபத்தானது.",tamil-cinema
"சிவந்த பொன் மேனியாய் தகிக்கும் தன்னைவிட கரிய திருமேனி கொண்ட பூதேவியிடம் பெருமாள் அதிகம் காதல் கொண்டிருப்பதைக் கண்ணுற்ற திருமகள், தன்மீதும் பெருமாளின் பார்வையை திருப்ப வைக்க உபாயம் தேடினாள். அதற்காக துர்வாச முனிவரை சந்தித்து, பூமகளின் கரிய மேனியைத் தகிக்கும் தங்கத் திருமேனியாக்கும்படி கோரினாள்.",spirituality
மார்கழியில் பாடுவோம் திருப்பள்ளியெழுச்சி! ,spirituality
"இந்த விரதத்தைக் கடைப்பிடித்தால், குடும்பத்தில் கஷ்டங்கள் குறையும், செல்வ வளம் பெருகும். அதிர்ஷ்ட வாய்ப்புகள் வரும். பெற்றோருக்கு நற்பெயர் வாங்கித்தரும் குழந்தைகள் பிறக்கும் என்கிறது கந்த புராண சுலோகம்.",spirituality
" மூன்று மாதத்தில் ரூ.39,000 கோடி கடனை திருப்பி செலுத்த திட்டமிட்டிருப்பதாக ரிலையன்ஸ் கம்யூனிகேஷன்ஸ் நிறுவனத்தின் தலைவர் அனில் அம்பானி தெரிவித்தார். மும்பையில் செய்தியாளர்களை சந்தித்த அவர் இந்த தகவலைக் கூறினார். ஆர்.காம் தொடர்பாக அவர் மேலும் கூறியதாவது:",business
"வரும் பட்ஜெட்டில் வருமான வரி தொடர்பாக நிலவி வரும் எதிர்பார்ப்புகள் குறித்து, அனைத்து இந்திய வரி செலுத்துவோர் சங்க தலைவரும், கணக்கு தணிக்கையாளருமான வி.முரளி கூறியதாவது:",business
தற்போதைக்கு ஒளிப்பதிவாளராக சந்தோஷ் சிவன் மற்றும் இசையமைப்பாளராக ஏ.ஆர்.ரஹ்மான் ஆகியோர் மட்டுமே மணிரத்னத்தின் அடுத்த படத்துக்கு உறுதிசெய்யப்பட்டு உள்ளார்கள்.,tamil-cinema
"''விவேகம்' முழுவதும் கைதட்டிக் கொண்டாடக்கூடிய, ஒரு உண்மையான சர்வதேச உளவுப் படம். திரையில் அஜித் சார் தோன்றும் ஒவ்வொரு காட்சியும் பலத்த இடியைப் போல் மிக வலுவாக இருக்கும். அவரது அசுர உழைப்பைக் கண்டு வியந்தேன். அவ்வளவு சிறப்பாக அவர் செய்துள்ளார்.",tamil-cinema
பன்முக பயன்பாட்டு வாகன பிரிவில் தனி முத்திரையை பதித்த வாகனம் இனோவோ. ஆனால் இனி இனோவா நம் கைகளுக்கு கிடைக்கப்போவதில்லை. பயப் பட வேண்டாம் இனோவாக்கு பதிலாக புதிய இனோவா கிரிஸ்டாவை கொண்டு வந்துள்ளது டொயோட்டா நிறுவனம்.,business
தாய் சொல்லைத் தட்டாத சாமுண்டராயரின் மனதில் பெருமிதமும் இதுபோன்ற சிலையை எவராலும் எழுப்ப முடியாது என்று சற்று ஆணவமும் குடிகொண்டிருந்தன.,spirituality
'சிவாஜி' படத்தில் இடம்பெற்றுள்ள கறுப்பு பணம் வசனங்கள் மற்றும் இறுதி பெயர் ஓட்டத்தில் வரும் காட்சிகள் உருவானது எப்படி என்று உதவி இயக்குநர் விளக்கமளித்துள்ளார்.,tamil-cinema
பரணி காலில் விழுந்து மன்னிப்புக் கோரியது நானே: ஜூலி ஒப்புதல்,tamil-cinema
"முதலில் திட்டினார். பின்னர் பணம் கேட்டார். அவர்கள் மறுத்தபின் வழிமறித்தார்.காவல் நிலையத்திற்கு வண்டியை எடுத்துச் செல்வோம் எனச் சொல்லிப் பார்த்தார். அவர்களோ மாறாக `நீங்கள் தான் எங்களுக்கு வழிவிடவில்லை, 10,000 ரூபாய் எடுத்து வையுங்கள் ' என ஆரம்பித்து விட்டனர் !",business
"அஷ்டபதியை இரண்டு விதமாக அணுகலாம். ஒன்று, ஜீவாத்மா பரமாத்மாவை கண்டடைதல். இன்னொரு விதம், ராதை எனும் பக்தை, தன் உடலாலும் மனதாலும் பக்தியாலும் இறைவனை அடையும் முயற்சியை வெளிப்படுத்தும் காவியமாக விளங்குகிறது. சர்வம் கிருஷ்ணார்ப்பணம் என்னும் கருத்துக்கு சிருங்காரம் எனும் கிளைப் பாதையை உண்டாக்குகிறது. ",spirituality
"இயக்குநர் ரஞ்சித் பேச்சை ஆமோதித்துப் பேசிய இயக்குநர் ராம், ""சாதியால் நாம் பிரிந்திருக்கிறோம் என்பதை ஒத்துக்கொள்ள வேண்டும்.",tamil-cinema
மீண்டும் செல்வராகவன் படத்தில் நடிப்பீர்களா?,tamil-cinema
"'டிக்:டிக்:டிக்' படத்தின் இறுதிகட்ட படப்பிடிப்பு சென்னையில் நடைபெற்று வருகிறது. விரைவில் இப்படத்தின் படப்பிடிப்பு முடிவடைந்து, இறுதிகட்டப் பணிகளில் கவனம் செலுத்தவுள்ளது படக்குழு.தற்போது இப்படத்தின் பர்ஸ்ட் லுக்கை ஜூலை 17-ம் தேதி வெளியிட படக்குழு முடிவு செய்துள்ளது.",tamil-cinema
கும்பகோணத்தில் புகழ்பெற்ற திருவிழாக்களில் ஒன்றாகக் கருதப்படுகிறது 12 கருட சேவை தரிசனம்.,spirituality
சிதம்பரம் என்ற பெயரே வழக்கில் இருந்தாலும் புலிக்கால் முனிவர் வியாக்கிரபாதர் பூசை செய்த காலத்தில் புலியூர் என்றே அழைக்கப்பட்டது. இதுவே பூலோகக் கைலாயம்.,spirituality
இதுவரை நான் நடித்த படங் களில் பேயெல் லாம் இருக் காது. இதில் கொஞ்சம் இருக்கிறது. பேயை வைத்துக் காமெடி செய்துள்ளோம். இப்படத்தில் எனக்கு வில்லன் மாதிரியான காமெடி கதாபாத்திரத்தில் சூரி கலக்கியிருக்கிறார்.,tamil-cinema
கவிஞர் மாலிக் முகமது ஜயாஸி என்பவர் எழுதிய காவியக் கவிதையான பத்மாவதியை மையமாகக் கொண்டு 'பத்மாவத்' படம் கற்பனை கலந்து எடுக்கப்பட்டுள்ளது. இதில் அலாவுதீன் கில்ஜிக்கே முக்கியத்துவம் கொடுத்திருக்கிறார் இயக்குநர் சஞ்சய் லீலா பன்சாலி. ,tamil-cinema
"எளிமையான இந்த வழியைப் பின்பற்றாமல் இருந்தால், வழி தவறினால், உண்மையில் நம்மை இந்த வையகம் சுமப்பது வம்புதான்! என்று உறுதிபடத் தெரிவிக்கிறார் காஞ்சி வரதராஜ பெருமாள் கோயிலின் கிட்டு பட்டர்.",spirituality
எம்எல்சிஆர் அடிப்படையிலான வட்டி விகிதம் நிர்ணயிக்கப்படும் நிலையில் ஒராண்டிற்கான எம்எல்சிஆர் விகிதம் 7.95 சதவீதத்தில் இருந்து 8.15 சதவீதமாக உயர்த்தப்பட்டுள்ளது. ,business
"பசு, கன்று சூழ, ராதையுடன் உள்ள கிருஷ்ண விக்கிரகத்துக்கு மலர் மாலை சூட்ட வேண்டும். பின்னர் தெருக்கடையில் விற்கும் வன்னிக் கிளையை வாங்கி வந்து கிருஷ்ண விக்கிரகத்துக்குப் பின்னால் வைக்க வேண்டும். இது வன்னி மரத்தடியில் கிருஷ்ணன் இருப்பது போன்ற பாவனை.",spirituality
இந்திய சிறைகள் மோசமாக உள்ளன: விஜய் மல்லையாவின் வழக்கறிஞர் வாதம்,business
"இறைநம்பிக்கையாளர்கள் கண்ணியம் மிக்கத் தோற்றத்திலிருக்க வேண்டும் என்று வலியுறுத்தும் நபிகளார், இதற்காக தம் தோழர்களுக்குத் தூய்மைப் பயிற்சியும் அளிக்கிறார். தனிப்பட்ட வாழ்விலும் சமூக வாழ்விலும் வீட்டிலும் வெளியிலும் இறையடியார்கள் தங்கள் தோற்றத்தில் கவனம் செலுத்திட வேண்டும் என்பது முக்கியமானது.",spirituality
தற்போது உள்ள முறையில் வரி விதிப்பு மிகுந்த குழப்பத்தை ஏற்படுத்தும் விதமாக உள்ளது. இது வரி விதிப்பு முறையை மேலும் பலவீனப்படுத்தும் என்றும் அதிகாரிகள் தெரிவித்துள்ளனர்.,business
'விவேகம்' விமர்சன சர்ச்சை குறித்த பாடகர் ஸ்ரீனிவாஸின் ஃபேஸ்புக் பதிவால் மீண்டும் சமூக வலைதளத்தில் பெரும் சர்ச்சை உருவாகியுள்ளது.,tamil-cinema
இந்த விமானங்கள் உள்நாட்டு விமான போக்குவரத்துக்காக பயன்படுத்த இருப்பதாகவும் வருகிற அக்டோபர் 3-ம் தேதி முதல் இந்த விமான சேவை தொடங்கும் என்றும் ஸ்பைஸ் ஜெட் நிறுவனம் தெரிவித் துள்ளது.,business
ஒரு நாள் மாலை நேரத் தொழுகைக்குப் பிறகு நபிகளார் தமது தோழர்களுக்கு நல்லுரை வழங்க ஆரம்பித்தார்.,spirituality
"இதில், இரண்டாவது பகுதியை மட்டும் பார்த்தால் ஆபாசமான விமர்சனமோ என்று தோன்றும். ஆனால், முழுமையாக வாசித்தால் அந்த ஒப்பீடு புரியும். பெரும்பாலான ஆண்கள் ஆண்ட்ரியாவைப் பார்க்கும்போது எப்படி யோசிப்பார்களோ அந்த புள்ளியில்தான் அந்த விமர்சனம் முன்வைக்கப்படுகிறது.",tamil-cinema
