Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Record ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Owner ID,OwnerId,FALSE,--,"[ ""Group"", ""User"" ]",Owner,reference,FALSE,TRUE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
Alert Name,Name,FALSE,--,--,null,string,FALSE,FALSE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Last Viewed Date,LastViewedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Last Referenced Date,LastReferencedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Account,FinServ__Account__c,TRUE,--,"[ ""Account"" ]",FinServ__Account__r,reference,FALSE,TRUE
Active,FinServ__Active__c,FALSE,--,--,null,boolean,FALSE,TRUE
Financial Account,FinServ__FinancialAccount__c,TRUE,--,"[ ""FinServ__FinancialAccount__c"" ]",FinServ__FinancialAccount__r,reference,FALSE,TRUE
Message Description,FinServ__MessageDescription__c,TRUE,--,--,null,string,FALSE,TRUE
Message,FinServ__Message__c,FALSE,--,--,null,string,FALSE,TRUE
Priority,FinServ__Priority__c,TRUE,"[ ""Low"" , ""Medium"" , ""High"" ]",--,null,picklist,FALSE,TRUE
Severity,FinServ__Severity__c,FALSE,"[ ""Error"" , ""Warning"" , ""Info"" ]",--,null,picklist,FALSE,TRUE
Source System Id,FinServ__SourceSystemId__c,TRUE,--,--,null,string,FALSE,TRUE
