Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Asset ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Contact ID,ContactId,TRUE,--,"[ ""Contact"" ]",Contact,reference,FALSE,TRUE
Account ID,AccountId,TRUE,--,"[ ""Account"" ]",Account,reference,FALSE,TRUE
Parent Asset ID,ParentId,TRUE,--,"[ ""Asset"" ]",Parent,reference,FALSE,TRUE
Root Asset ID,RootAssetId,TRUE,--,"[ ""Asset"" ]",RootAsset,reference,FALSE,FALSE
Product ID,Product2Id,TRUE,--,"[ ""Product2"" ]",Product2,reference,FALSE,TRUE
Product Code,ProductCode,TRUE,--,--,null,string,FALSE,FALSE
Competitor Asset,IsCompetitorProduct,FALSE,--,--,null,boolean,FALSE,TRUE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
Asset Name,Name,FALSE,--,--,null,string,FALSE,TRUE
Serial Number,SerialNumber,TRUE,--,--,null,string,FALSE,TRUE
Install Date,InstallDate,TRUE,--,--,null,date,FALSE,TRUE
Purchase Date,PurchaseDate,TRUE,--,--,null,date,FALSE,TRUE
Usage End Date,UsageEndDate,TRUE,--,--,null,date,FALSE,TRUE
Status,Status,TRUE,"[ ""Purchased"" , ""Shipped"" , ""Installed"" , ""Registered"" , ""Obsolete"" ]",--,null,picklist,FALSE,TRUE
Price,Price,TRUE,--,--,null,currency,FALSE,TRUE
Quantity,Quantity,TRUE,--,--,null,double,FALSE,TRUE
Description,Description,TRUE,--,--,null,textarea,FALSE,TRUE
Owner ID,OwnerId,FALSE,--,"[ ""User"" ]",Owner,reference,FALSE,TRUE
Asset Provided By ID,AssetProvidedById,TRUE,--,"[ ""Account"" ]",AssetProvidedBy,reference,FALSE,TRUE
Asset Serviced By ID,AssetServicedById,TRUE,--,"[ ""Account"" ]",AssetServicedBy,reference,FALSE,TRUE
Internal Asset,IsInternal,FALSE,--,--,null,boolean,FALSE,TRUE
Asset Level,AssetLevel,TRUE,--,--,null,int,FALSE,FALSE
Product SKU,StockKeepingUnit,TRUE,--,--,null,string,FALSE,FALSE
Last Viewed Date,LastViewedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Last Referenced Date,LastReferencedDate,TRUE,--,--,null,datetime,FALSE,FALSE
