Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Apex Job ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Job Type,JobType,FALSE,"[ ""Future"" , ""SharingRecalculation"" , ""ScheduledApex"" , ""BatchApex"" , ""BatchApexWorker"" , ""TestRequest"" , ""TestWorker"" , ""ApexToken"" , ""Queueable"" ]",--,null,picklist,FALSE,FALSE
Class ID,ApexClassId,TRUE,--,"[ ""ApexClass"" ]",ApexClass,reference,FALSE,FALSE
Status,Status,FALSE,"[ ""Queued"" , ""Processing"" , ""Aborted"" , ""Completed"" , ""Failed"" , ""Preparing"" , ""Holding"" ]",--,null,picklist,FALSE,FALSE
Batches Processed,JobItemsProcessed,FALSE,--,--,null,int,FALSE,FALSE
Total Batches,TotalJobItems,TRUE,--,--,null,int,FALSE,FALSE
Failures,NumberOfErrors,TRUE,--,--,null,int,FALSE,FALSE
Completion Date,CompletedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Apex Method,MethodName,TRUE,--,--,null,string,FALSE,FALSE
Status Detail,ExtendedStatus,TRUE,--,--,null,string,FALSE,FALSE
Apex Job ID,ParentJobId,TRUE,--,"[ ""AsyncApexJob"" ]",null,reference,FALSE,FALSE
Last ID processed and committed,LastProcessed,TRUE,--,--,null,string,FALSE,FALSE
Offset of last ID processed and committed,LastProcessedOffset,TRUE,--,--,null,int,FALSE,FALSE
