Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Record ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
Card Name,Name,TRUE,--,--,null,string,FALSE,TRUE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Last Activity Date,LastActivityDate,TRUE,--,--,null,date,FALSE,FALSE
Financial Account,FinServ__FinancialAccount__c,FALSE,--,"[ ""FinServ__FinancialAccount__c"" ]",FinServ__FinancialAccount__r,reference,FALSE,FALSE
Account Holder,FinServ__AccountHolder__c,TRUE,--,"[ ""Account"" ]",FinServ__AccountHolder__r,reference,FALSE,TRUE
Active,FinServ__Active__c,FALSE,--,--,null,boolean,FALSE,TRUE
BIN Number,FinServ__BinNumber__c,TRUE,--,--,null,double,FALSE,TRUE
Ownership Type,FinServ__OwnershipType__c,TRUE,"[ ""Primary"" , ""Authorized"" , ""Other"" ]",--,null,picklist,FALSE,TRUE
Source System ID,FinServ__SourceSystemId__c,TRUE,--,--,null,string,FALSE,TRUE
Valid Until,FinServ__ValidUntil__c,TRUE,--,--,null,date,FALSE,TRUE
