Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Contact Role ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Contract ID,ContractId,FALSE,--,"[ ""Contract"" ]",Contract,reference,FALSE,FALSE
Contact ID,ContactId,FALSE,--,"[ ""Contact"" ]",Contact,reference,FALSE,TRUE
Role,Role,TRUE,"[ ""Business User"" , ""Decision Maker"" , ""Economic Buyer"" , ""Economic Decision Maker"" , ""Evaluator"" , ""Executive Sponsor"" , ""Influencer"" , ""Technical Buyer"" , ""Other"" ]",--,null,picklist,FALSE,TRUE
Primary,IsPrimary,FALSE,--,--,null,boolean,FALSE,TRUE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
