Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Scheduled Job ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Job ID,CronJobDetailId,TRUE,--,"[ ""CronJobDetail"" ]",CronJobDetail,reference,FALSE,FALSE
Next Run Time,NextFireTime,TRUE,--,--,null,datetime,FALSE,FALSE
Previous Run Time,PreviousFireTime,TRUE,--,--,null,datetime,FALSE,FALSE
Job State,State,TRUE,--,--,null,string,FALSE,FALSE
Start Time,StartTime,TRUE,--,--,null,datetime,FALSE,FALSE
End Time,EndTime,TRUE,--,--,null,datetime,FALSE,FALSE
Cron Expression,CronExpression,TRUE,--,--,null,string,FALSE,FALSE
Java Time Zone Id,TimeZoneSidKey,TRUE,"[ ""Pacific/Kiritimati"" , ""Pacific/Enderbury"" , ""Pacific/Tongatapu"" , ""Pacific/Chatham"" , ""Asia/Kamchatka"" , ""Pacific/Auckland"" , ""Pacific/Fiji"" , ""Pacific/Guadalcanal"" , ""Pacific/Norfolk"" , ""Australia/Lord_Howe"" , ""Australia/Brisbane"" , ""Australia/Sydney"" , ""Australia/Adelaide"" , ""Australia/Darwin"" , ""Asia/Seoul"" , ""Asia/Tokyo"" , ""Asia/Hong_Kong"" , ""Asia/Kuala_Lumpur"" , ""Asia/Manila"" , ""Asia/Shanghai"" , ""Asia/Singapore"" , ""Asia/Taipei"" , ""Australia/Perth"" , ""Asia/Bangkok"" , ""Asia/Ho_Chi_Minh"" , ""Asia/Jakarta"" , ""Asia/Rangoon"" , ""Asia/Dhaka"" , ""Asia/Kathmandu"" , ""Asia/Colombo"" , ""Asia/Kolkata"" , ""Asia/Karachi"" , ""Asia/Tashkent"" , ""Asia/Yekaterinburg"" , ""Asia/Kabul"" , ""Asia/Tehran"" , ""Asia/Baku"" , ""Asia/Dubai"" , ""Asia/Tbilisi"" , ""Asia/Yerevan"" , ""Africa/Nairobi"" , ""Asia/Baghdad"" , ""Asia/Beirut"" , ""Asia/Jerusalem"" , ""Asia/Kuwait"" , ""Asia/Riyadh"" , ""Europe/Athens"" , ""Europe/Bucharest"" , ""Europe/Helsinki"" , ""Europe/Istanbul"" , ""Europe/Minsk"" , ""Europe/Moscow"" , ""Africa/Cairo"" , ""Africa/Johannesburg"" , ""Europe/Amsterdam"" , ""Europe/Berlin"" , ""Europe/Brussels"" , ""Europe/Paris"" , ""Europe/Prague"" , ""Europe/Rome"" , ""Africa/Algiers"" , ""Africa/Casablanca"" , ""Europe/Dublin"" , ""Europe/Lisbon"" , ""Europe/London"" , ""America/Scoresbysund"" , ""Atlantic/Azores"" , ""GMT"" , ""Atlantic/Cape_Verde"" , ""Atlantic/South_Georgia"" , ""America/St_Johns"" , ""America/Argentina/Buenos_Aires"" , ""America/Halifax"" , ""America/Sao_Paulo"" , ""Atlantic/Bermuda"" , ""America/Caracas"" , ""America/Indiana/Indianapolis"" , ""America/New_York"" , ""America/Puerto_Rico"" , ""America/Santiago"" , ""America/Bogota"" , ""America/Chicago"" , ""America/Lima"" , ""America/Mexico_City"" , ""America/Panama"" , ""America/Denver"" , ""America/El_Salvador"" , ""America/Mazatlan"" , ""America/Los_Angeles"" , ""America/Phoenix"" , ""America/Tijuana"" , ""America/Anchorage"" , ""Pacific/Pitcairn"" , ""America/Adak"" , ""Pacific/Gambier"" , ""Pacific/Marquesas"" , ""Pacific/Honolulu"" , ""Pacific/Niue"" , ""Pacific/Pago_Pago"" ]",--,null,picklist,FALSE,FALSE
User ID,OwnerId,TRUE,--,"[ ""User"" ]",null,reference,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Job Fired Count,TimesTriggered,TRUE,--,--,null,int,FALSE,FALSE
