"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"FinServ__Education__c","Education","Id","Record ID","id",18,false,"[]",,false,false,,"[]",false
"FinServ__Education__c","Education","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"FinServ__Education__c","Education","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"FinServ__Education__c","Education","Name","Institution Name","string",80,true,"[]",,false,true,,"[]",false
"FinServ__Education__c","Education","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__Education__c","Education","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"FinServ__Education__c","Education","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__Education__c","Education","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"FinServ__Education__c","Education","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__Education__c","Education","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"FinServ__Education__c","Education","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"FinServ__Education__c","Education","FinServ__Contact__c","Contact","reference",18,true,"[""Contact""]","FinServ__Contact__r",false,true,,"[]",false
"FinServ__Education__c","Education","FinServ__EducationLevel__c","Education Level","picklist",255,true,"[]",,false,true,,"[""High School"",""Graduate"",""Post Graduate"",""Decline to Comment""]",false
"FinServ__Education__c","Education","FinServ__GraduationDate__c","Graduation Date","date",0,true,"[]",,false,true,,"[]",false
"FinServ__Education__c","Education","FinServ__Institution__c","Institution","string",255,true,"[]",,false,true,,"[]",false
"FinServ__Education__c","Education","FinServ__SourceSystemId__c","Source System ID","string",100,true,"[]",,false,true,,"[]",true
