"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"FinServ__Employment__c","Employment","Id","Record ID","id",18,false,"[]",,false,false,,"[]",false
"FinServ__Employment__c","Employment","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"FinServ__Employment__c","Employment","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"FinServ__Employment__c","Employment","Name","Employer Name","string",80,true,"[]",,false,true,,"[]",false
"FinServ__Employment__c","Employment","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__Employment__c","Employment","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"FinServ__Employment__c","Employment","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__Employment__c","Employment","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"FinServ__Employment__c","Employment","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__Employment__c","Employment","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"FinServ__Employment__c","Employment","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"FinServ__Employment__c","Employment","FinServ__AnnualIncome__c","Annual Income","currency",0,true,"[]",,false,true,,"[]",false
"FinServ__Employment__c","Employment","FinServ__Contact__c","Contact","reference",18,true,"[""Contact""]","FinServ__Contact__r",false,true,,"[]",false
"FinServ__Employment__c","Employment","FinServ__EmployerAddress__c","Employer Address","textarea",1000,true,"[]",,false,true,,"[]",false
"FinServ__Employment__c","Employment","FinServ__EmployerPhoneNumber__c","Employer Phone Number","phone",40,true,"[]",,false,true,,"[]",false
"FinServ__Employment__c","Employment","FinServ__EmploymentStatus__c","Employment Status","picklist",255,true,"[]",,false,true,,"[""Employed"",""Self-Employed"",""Home Maker"",""Retired"",""Student"",""Unemployed with Income"",""Unemployed without Income""]",false
"FinServ__Employment__c","Employment","FinServ__EndDate__c","End Date","date",0,true,"[]",,false,true,,"[]",false
"FinServ__Employment__c","Employment","FinServ__LengthOfEmployment__c","Length of Employment","double",0,true,"[]",,false,false,,"[]",false
"FinServ__Employment__c","Employment","FinServ__Occupation__c","Occupation","picklist",255,true,"[]",,false,true,,"[""Management"",""Computer and Mathematical"",""Architecture and Engineering"",""Life, Physical, and Social Science"",""Community and Social Service"",""Legal"",""Education, Training, and Library"",""Arts, Design, Entertainment, Sports, and Media"",""Healthcare Practitioners and Technical"",""Healthcare Support"",""Protective Service"",""Food Preparation and Serving"",""Building and Grounds Cleaning/Maintennce"",""Personal Care and Service"",""Sales"",""Office Admin"",""Farming, Fishing, and Forestry"",""Construction and Extraction"",""Installation, Maintenance, and Repair"",""Production"",""Transportation and Material Moving"",""Other""]",false
"FinServ__Employment__c","Employment","FinServ__Position__c","Position","string",150,true,"[]",,false,true,,"[]",false
"FinServ__Employment__c","Employment","FinServ__SourceSystemId__c","Source System ID","string",100,true,"[]",,false,true,,"[]",true
"FinServ__Employment__c","Employment","FinServ__StartDate__c","Start Date","date",0,true,"[]",,false,true,,"[]",false
