"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"FinServ__FinancialAccount__c","Financial Account","Id","Record ID","id",18,false,"[]",,false,false,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","Name","Financial Account Name","string",80,true,"[]",,false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","RecordTypeId","Record Type ID","reference",18,true,"[""RecordType""]","RecordType",false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","LastActivityDate","Last Activity Date","date",0,true,"[]",,false,false,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","FinServ__Address1__c","Address 1","string",80,true,"[]",,false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","FinServ__Address2__c","Address 2","string",80,true,"[]",,false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","FinServ__ApplicationDate__c","Application Date","date",0,true,"[]",,false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","FinServ__AssetRebalance__c","Asset Rebalance","boolean",0,false,"[]",,false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","FinServ__AverageBalance__c","Average Balance","currency",0,true,"[]",,false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","FinServ__Balance__c","Balance","currency",0,true,"[]",,false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","FinServ__CashBalance__c","Cash Balance","currency",0,true,"[]",,false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","FinServ__City__c","City","string",80,true,"[]",,false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","FinServ__CloseDate__c","Date Closed","date",0,true,"[]",,false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","FinServ__Country__c","Country","string",80,true,"[]",,false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","FinServ__Description__c","Description","textarea",255,true,"[]",,false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","FinServ__Discretionary__c","Discretionary","boolean",0,false,"[]",,false,true,,"[]",false
"FinServ__FinancialAccount__c","Financial Account","FinServ__FinancialAccountNumber__c","Account Number","string",80,true,"[]",,false,true,,"[]",true
"FinServ__FinancialAccount__c","Financial Account","FinServ__FinancialAccountSource__c","Source","picklist",255,true,"[]",,false,true,,"[""Integrator"",""Pending"",""Manual Entry""]",false
