"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"FinServ__IdentificationDocument__c","Identification Document","Id","Record ID","id",18,false,"[]",,false,false,,"[]",false
"FinServ__IdentificationDocument__c","Identification Document","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"FinServ__IdentificationDocument__c","Identification Document","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"FinServ__IdentificationDocument__c","Identification Document","Name","Document","string",80,false,"[]",,false,false,,"[]",false
"FinServ__IdentificationDocument__c","Identification Document","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__IdentificationDocument__c","Identification Document","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"FinServ__IdentificationDocument__c","Identification Document","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__IdentificationDocument__c","Identification Document","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"FinServ__IdentificationDocument__c","Identification Document","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__IdentificationDocument__c","Identification Document","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"FinServ__IdentificationDocument__c","Identification Document","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"FinServ__IdentificationDocument__c","Identification Document","FinServ__Account__c","Account","reference",18,true,"[""Account""]","FinServ__Account__r",false,true,,"[]",false
"FinServ__IdentificationDocument__c","Identification Document","FinServ__DocumentNumber__c","Document Number","string",200,true,"[]",,false,true,,"[]",false
"FinServ__IdentificationDocument__c","Identification Document","FinServ__DocumentType__c","Document Type","picklist",255,true,"[]",,false,true,,"[""Passport"",""License"",""Visa"",""Green Card"",""Other""]",false
"FinServ__IdentificationDocument__c","Identification Document","FinServ__ExpirationDate__c","Expiration Date","date",0,true,"[]",,false,true,,"[]",false
