Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Record ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Owner ID,OwnerId,FALSE,--,"[ ""Group"", ""User"" ]",Owner,reference,FALSE,TRUE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
Financial Account Name,Name,TRUE,--,--,null,string,FALSE,TRUE
Record Type ID,RecordTypeId,TRUE,--,"[ ""RecordType"" ]",RecordType,reference,FALSE,TRUE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Last Activity Date,LastActivityDate,TRUE,--,--,null,date,FALSE,FALSE
Last Viewed Date,LastViewedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Last Referenced Date,LastReferencedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Address 1,FinServ__Address1__c,TRUE,--,--,null,string,FALSE,TRUE
Address 2,FinServ__Address2__c,TRUE,--,--,null,string,FALSE,TRUE
Application Date,FinServ__ApplicationDate__c,TRUE,--,--,null,date,FALSE,TRUE
Asset Rebalance,FinServ__AssetRebalance__c,FALSE,--,--,null,boolean,FALSE,TRUE
Average Balance,FinServ__AverageBalance__c,TRUE,--,--,null,currency,FALSE,TRUE
Balance,FinServ__Balance__c,TRUE,--,--,null,currency,FALSE,TRUE
Cash Balance,FinServ__CashBalance__c,TRUE,--,--,null,currency,FALSE,TRUE
City,FinServ__City__c,TRUE,--,--,null,string,FALSE,TRUE
Date Closed,FinServ__CloseDate__c,TRUE,--,--,null,date,FALSE,TRUE
Country,FinServ__Country__c,TRUE,--,--,null,string,FALSE,TRUE
Description,FinServ__Description__c,TRUE,--,--,null,textarea,FALSE,TRUE
Discretionary,FinServ__Discretionary__c,FALSE,--,--,null,boolean,FALSE,TRUE
Account Number,FinServ__FinancialAccountNumber__c,TRUE,--,--,null,string,FALSE,TRUE
Source,FinServ__FinancialAccountSource__c,TRUE,"[ ""Integrator"" , ""Pending"" , ""Manual Entry"" ]",--,null,picklist,FALSE,TRUE
Type,FinServ__FinancialAccountType__c,TRUE,"[ ""Brokerage"" , ""Discount Brokerage"" , ""CD"" , ""Checking"" , ""Cash Management Account"" , ""Credit Card"" , ""Savings"" , ""Mutual Fund"" , ""Fixed Annuity"" , ""Variable Annuity"" , ""Managed Account"" , ""Individual Life"" , ""Term Life"" , ""Variable Life"" , ""Whole Life"" ]",--,null,picklist,FALSE,TRUE
Held Away,FinServ__HeldAway__c,FALSE,--,--,null,boolean,FALSE,TRUE
Household,FinServ__Household__c,TRUE,--,"[ ""Account"" ]",FinServ__Household__r,reference,FALSE,TRUE
Insured Amount,FinServ__InsuredAmount__c,TRUE,--,--,null,currency,FALSE,TRUE
Investment Objectives,FinServ__InvestmentObjectives__c,TRUE,"[ ""Safety"" , ""Income"" , ""Growth"" , ""Tax Optimization"" , ""Liquidity"" ]",--,null,multipicklist,FALSE,TRUE
Joint Owner,FinServ__JointOwner__c,TRUE,--,"[ ""Account"" ]",FinServ__JointOwner__r,reference,FALSE,TRUE
Last Updated,FinServ__LastUpdated__c,TRUE,--,--,null,date,FALSE,TRUE
Managed,FinServ__Managed__c,FALSE,--,--,null,boolean,FALSE,TRUE
Minimum Balance,FinServ__MinimumBalance__c,TRUE,--,--,null,currency,FALSE,TRUE
Model Portfolio,FinServ__ModelPortfolio__c,TRUE,"[ ""Conservative"" , ""Moderate"" , ""Balanced"" , ""Growth"" , ""Aggressive"" ]",--,null,picklist,FALSE,TRUE
Date Opened,FinServ__OpenDate__c,TRUE,--,--,null,date,FALSE,TRUE
Owner Type,FinServ__OwnerType__c,TRUE,--,--,null,string,FALSE,TRUE
Ownership,FinServ__Ownership__c,TRUE,"[ ""Individual"" , ""Joint"" , ""Trust"" ]",--,null,picklist,FALSE,TRUE
Paperless Delivery,FinServ__PaperlessDelivery__c,FALSE,--,--,null,boolean,FALSE,TRUE
Performance 1Yr,FinServ__Performance1Yr__c,TRUE,--,--,null,percent,FALSE,TRUE
Performance 3Yr,FinServ__Performance3Yr__c,TRUE,--,--,null,percent,FALSE,TRUE
Performance MTD,FinServ__PerformanceMTD__c,TRUE,--,--,null,percent,FALSE,TRUE
Performance QTD,FinServ__PerformanceQTD__c,TRUE,--,--,null,percent,FALSE,TRUE
Performance YTD,FinServ__PerformanceYTD__c,TRUE,--,--,null,percent,FALSE,TRUE
Postal Code,FinServ__PostalCode__c,TRUE,--,--,null,string,FALSE,TRUE
Premium,FinServ__Premium__c,TRUE,--,--,null,currency,FALSE,TRUE
Primary Owner,FinServ__PrimaryOwner__c,FALSE,--,"[ ""Account"" ]",FinServ__PrimaryOwner__r,reference,FALSE,TRUE
Rebalance Frequency,FinServ__RebalanceFrequency__c,TRUE,"[ ""Monthly"" , ""Quarterly"" , ""Semiannually"" , ""Annually"" ]",--,null,picklist,FALSE,TRUE
Record Type,FinServ__RecordTypeName__c,TRUE,--,--,null,string,FALSE,FALSE
Renewal Date,FinServ__RenewalDate__c,TRUE,--,--,null,date,FALSE,TRUE
