Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Record ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
Name,Name,FALSE,--,--,null,string,FALSE,TRUE
Location,SetupOwnerId,TRUE,--,"[ ""Organization"", ""Profile"", ""User"" ]",SetupOwner,reference,FALSE,TRUE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Excluded Fields,FinServ__ExcludedFields__c,TRUE,--,--,null,string,FALSE,TRUE
