Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Custom Metadata Record ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Custom Metadata Record Name,DeveloperName,FALSE,--,--,null,string,FALSE,FALSE
Label,MasterLabel,FALSE,--,--,null,string,FALSE,FALSE
Master Language,Language,FALSE,"[ ""en_US"" , ""de"" , ""es"" , ""fr"" , ""it"" , ""ja"" , ""sv"" , ""ko"" , ""zh_TW"" , ""zh_CN"" , ""pt_BR"" , ""nl_NL"" , ""da"" , ""th"" , ""fi"" , ""ru"" , ""es_MX"" , ""no"" ]",--,null,picklist,FALSE,FALSE
Namespace Prefix,NamespacePrefix,TRUE,--,--,null,string,FALSE,FALSE
Label,Label,TRUE,--,--,null,string,FALSE,FALSE
Qualified API Name,QualifiedApiName,TRUE,--,--,null,string,FALSE,FALSE
Record Type Namespace (Account),FinServ__AccountRecordTypeNamespace__c,TRUE,--,--,null,string,FALSE,FALSE
Account Record Type,FinServ__AccountRecordType__c,TRUE,--,--,null,string,FALSE,FALSE
Record Type Namespace (Contact),FinServ__ContactRecordTypeNamespace__c,TRUE,--,--,null,string,FALSE,FALSE
Contact Record Type,FinServ__ContactRecordType__c,TRUE,--,--,null,string,FALSE,FALSE
Detail Page,FinServ__DetailPage__c,TRUE,--,--,null,string,FALSE,FALSE
Account SubType,FinServ__IndividualType__c,TRUE,--,--,null,string,TRUE,FALSE
Record Type Namespace (Lead),FinServ__LeadRecordTypeNamespace__c,TRUE,--,--,null,string,FALSE,FALSE
Lead Record Type,FinServ__LeadRecordType__c,TRUE,--,--,null,string,FALSE,FALSE
