Metadata Type,Allows Wildcard (*)?,Description,,,,,,,,,,,,
AccountSettings,Not Applicable,Represents an organization’s account settings for account teams, account owner report, and the View Hierarchy link.,,,,,,,,,,
ActionLinkGroupTemplate,Yes,Represents the action link group template. Action link templates let you reuse action link definitions and package and distribute action links. An action link is a button on a feed element. Clicking on an action link can take a user to another Web page, initiate a file download, or invoke an API call to an external server or Salesforce. Use action links to integrate Salesforce and third-party services into the feed. Every action link belongs to an action link group and action links within the group are mutually exclusive.,,,,,,,,,,
ActionOverride,No,Represents an action override on a standard or custom object. Use it to create, update, edit, or delete action overrides.,,,,,,,,,
ActivitiesSettings,Not Applicable,Represents an organizations activity settings, and its user interface settings for the calendar.,,,,,,,,,,,
AddressSettings,Not Applicable,Represents the configuration of country and state picklists.,,,,,,,,,,,,
AnalyticSnapshot,No,Represents a reporting snapshot. A reporting snapshot lets you report on historical data. Authorized users can save tabular or summary report results to fields on a custom object, then map those fields to corresponding fields on a target object. They can then schedule when to run the report to load the custom object's fields with the report's data. Reporting snapshots enable you to work with report data similarly to how you work with other records in Salesforce.,,,,,,,,,,,
ApexClass,Yes,Represents an Apex class. An Apex class is a template or blueprint from which Apex objects are created. Classes consist of other classes, user-defined methods, variables, exception types, and static initialization code.,,,,,,,,
ApexComponent,Yes,Represents a Visualforce component.,,,,,,,,,,,,
ApexPage,Yes,Represents a Visualforce page.,,,,,,,,,,,,
ApexTrigger,Yes,Represents an Apex trigger. A trigger is Apex code that executes before or after specific data manipulation language (DML) events occur, such as before object records are inserted into the database, or after records have been deleted.,,,,,,,,,,
AppMenu,Yes,Represents the app menu or the Salesforce mobile navigation menu.,,,,,,,,,,,,
ApprovalProcess,Yes,,,,,,,,,,,,,
(See description.),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Represents the metadata associated with an approval process. An approval process automates how records are approved in Salesforce. An approval process specifies each step of approval, including who to request approval from and what to do at each point of the process.,,,,,,,,,,,,,
Use the wildcard (*) symbol to retrieve all approval processes for all objects. You cant use it to retrieve a subset of approval processes; syntax such as Lead.* is not supported.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ArticleType,Yes,Represents the metadata associated with an article type.,,,,,,,,,,,,
AssignmentRules,Yes,Represents assignment rules that allow you to automatically route cases to the appropriate users or queues. You can access rules metadata for all applicable objects, for a specific object, or for a specific rule on a specific object.,,,,,,,,,,
Audience,Yes,Represents the audience in a community. An audience consists of different types of criteria, where the audience can be assigned and used for targeting in a community.,,,,,,,,,,,
AuthProvider,Yes,Represents an authentication provider (or auth provider) in your organization. An auth provider enables users to log in to your Salesforce organization using their login credentials from an external service provider such as Facebook© or Janrain©.,,,,,,,,,,,,
AuraDefinitionBundle,Yes,Represents a Lightning definition bundle. A bundle contains a Lightning definition and all its related resources. The definition can be a component, application, event, interface, or a tokens collection.,,,,,,,,
AutoResponseRules,Yes,Represents an auto-response rule that sets conditions for sending automatic email responses to lead or case submissions based on the attributes of the submitted record. You can access rules metadata for all applicable objects, for a specific object, or for a specific rule on a specific object.,,,,,,,,,,
BaseSharingRule,Yes,This component is removed as of API version 33.0 and is available in earlier versions only. Use SharingBaseRule instead. Represents the base container for criteria-based and owner-based sharing rules.,,,,,,,,,,,,
Bot,Yes,Represents a definition of an Einstein Bot configuration that can have one or more versions. Only one version can be active.,,,,,,,,,,,,
BotVersion,No,Represents the configuration details for a specific Einstein Bot version, including dialogs, intents, entities, and variables.,,,,,,,,
BrandingSet,Yes,Represents the definition of a set of branding properties for a community, as defined in the Branding Panel in Community Builder.,,,,,,,,,,,
BusinessHoursSettings,Not Applicable,Represents the metadata used to manage settings for business hours and holidays in entitlements, entitlement templates, campaigns, and cases.,,,,,,,,,
BusinessProcess,(See description.),The BusinessProcess metadata type enables you to display different picklist values for users based on their profile.,,,,,,,,,,,,
Supports wildcard (*) only if a RecordType is specified.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CallCenter,Yes,Represents the Call Center definition used to integrate Salesforce with a third-party computer-telephony integration (CTI) system.,,,,,,,,,,,,
CaseSettings,Not Applicable,Represents an organizations case settings, such as the default case owner, which case-related features are enabled, and which email templates are used for various case activities.,,,,,,,,,
CaseSubjectParticle,No,Represents the Social Business Rules custom format for the Case Subject field on cases created from inbound social posts.,,,,,,,,,,,,
Certificate,Yes,Represents a certificate used for digital signatures which verify that requests are coming from your org. Certificates are used for either authenticated single sign-on with an external website, or when using your org as an identity provider.,,,,,,,,,,,
ChatterAnswersSettings,Not Applicable,Represents the metadata used to manage settings for Chatter Answers.,,,,,,,,,,,,
ChatterExtension,Not Applicable,Represents the metadata used to describe a Rich Publisher App thats integrated with the Chatter publisher.,,,,,,,,,,,,
CleanDataService,Yes,Represents a data service that adds and updates data in standard objects.,,,,,,,,,,,,
CMSConnectSource,Yes,Represents the connection information for external content management systems that feed content to Communities.,,,,,,,,,,,,
CompanySettings,Not Applicable,Represents global settings that affect multiple features in your organization.,,,,,,,,,,,,
Community (Zone),Yes,Represents a zone that contains Ideas or Chatter Answers objects. Zones are shared by the Ideas, Answers, and Chatter Answers features, allowing you to view and create zones from those locations.,,,,,,,,,
CommunityTemplateDefinition,Yes,Represents the definition of a community template.,,,,,,,,,,,,
CommunityThemeDefinition,Yes,Represents the definition of a community theme.,,,,,,,,,,,,
CompactLayout,Yes,Represents the metadata associated with a compact layout.,,,,,,,,,,,,
ConnectedApp,Yes,Represents a connected app configuration. A connected app integrates an application with Salesforce using APIs. Connected apps use standard SAML and OAuth protocols to authenticate, provide single sign-on, and provide tokens for use with Salesforce APIs. In addition to standard OAuth capabilities, connected apps allow Salesforce admins to set various security policies and have explicit control over who can use the corresponding apps.,,,,,,,,,
ContentAsset,Yes,Represents the metadata for creating an asset file.,,,,,,,,,,,,
ContractSettings,Not Applicable,Represents contract settings.,,,,,,,,,,,,
CorsWhitelistOrigin,Yes,Represents an origin in the CORS whitelist.,,,,,,,,,,,,
CriteriaBasedSharingRule,Yes,This component is removed as of API version 33.0 and is available in earlier versions only. Use SharingRules instead. Represents a criteria-based sharing rule. CriteriaBasedSharingRule enables you to share records based on specific criteria. It contains metadata for the following criteria-based sharing rules: Accounts, Campaigns, Cases, Contacts, Custom Objects, Leads, and Opportunities.,,,,,,
CspTrustedSite,Not Applicable,Represents a CSP Trusted Site. The Lightning Component framework uses Content Security Policy (CSP), which is a W3C standard, to control the source of content that can be loaded on a page. To use third-party APIs that make requests to an external (non-Salesforce) server, add the server as a CSP Trusted Site.,,,,,,,,,
CustomApplication,Yes,CustomApplication represents a custom or standard application. In API version 29.0 and earlier, CustomApplication represents only a custom application. An application is a list of tab references, with a description and a logo.,,,,,,,,,,
CustomApplicationComponent,Yes,Represents a custom console component (Visualforce page) assigned to a CustomApplication that is marked as a Salesforce console. Custom console components extend the capabilities of Salesforce console apps.,,,,,,,,,,,,
CustomFeedFilter,Yes,Represents a custom feed filter that limits the feed view to feeds from the Cases object. The custom feed filter shows only feed items that satisfy the criteria specified in the CustomFeedFilter definition.,,,,,,,,,,,,
CustomField,No,Represents the metadata associated with a field. Use this metadata type to create, update, or delete custom field definitions on standard, custom, and external objects or standard field definitions on standard objects.,,,,,,,,
CustomLabel,No,Represents a custom label that can be localized and used in different languages, countries, and currencies. Use this type instead of CustomLabels if you want to retrieve custom labels by name.,,,,,,,,,,
Custom Metadata Types (CustomObject),Yes,Represents the metadata associated with a custom metadata type.,,,,,,,,,,,,
CustomMetadata,Yes,Represents a record of a custom metadata type.,,,,,,,,,,,,
CustomLabels,Yes,The CustomLabels metadata type allows you to create custom labels that can be localized for use in different languages, countries, and currencies.,,,,,,,,,,
CustomObject,(See description.),Represents a custom object that stores data unique to your organization or an external object that maps to data stored outside your org.,,,,,,,,,,,,
You can also use this metadata type to work with customizations of standard objects, such as Accounts. It contains the following types: Action Overrides, Business Processes, Custom Fields, Field Sets, List Views, Named Filters (Lookup Filters), Picklists (including Dependent Picklists), Record Types, Search Layouts, Sharing Reasons, Sharing Recalculations, Validation Rules, Weblinks, and Field Types.
,,,,,,,,,,,,,,
Supports wildcard (*) for Field Sets and Record Types, but not for other components.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CustomObjectTranslation,Yes,This metadata type allows you to translate custom objects for a variety of languages.,,,,,,,,,,,,
CustomPageWebLink,Yes,Represents a custom link defined in a home page component.,,,,,,,,,,,,
CustomPermission,Yes,Represents a permission that grants access to a custom feature.,,,,,,,,,,,,
CustomSite,Yes,Represents a Salesforce site. Create public websites and applications that are directly integrated with your Salesforce organization, but don't require users to log in with a username and password.,,,,,,,,,,,
CustomTab,Yes,Represents a custom tab. Custom tabs let you display custom object data or other web content in Salesforce. When you add a custom tab to an app in Salesforce Classic, it displays as a tab. When you add a custom tab to an app in Lightning Experience, it displays as an item in the apps navigation bar. When a tab displays a custom object, the tab name is the same as the custom object name; for page, s-control, or URL tabs, the name is arbitrary.,,,,,,
Dashboard,No,Represents a dashboard. Dashboards are visual representations of data that allow you to see key metrics and performance at a glance.,,,,,,,,,,,,
DataCategoryGroup,Yes,Represents a data category group.,,,,,,,,,,,,
DelegateGroup,Yes,Represents a group of users who have the same administrative privileges. These groups are different from public groups used for sharing.,,,,,,,,,,,,
Document,No,Represents a Document. All documents must be in a document folder, such as sampleFolder/TestDocument.,,,,,,,,,,,
DuplicateRule,Yes,Represents a rule that specifies how duplicate records in an object are detected.,,,,,,,,,,,,
