Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
ObjectPermissions ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Parent ID,ParentId,FALSE,--,"[ ""PermissionSet"" ]",Parent,reference,FALSE,FALSE
Sobject Type Name,SobjectType,FALSE,"[ ""Account"" , ""AccountBrand"" , ""ActionPlan"" , ""ActionPlanTemplate"" , ""ActiveScratchOrg"" , ""AddOnDefinition"" , ""Address"" , ""AggregationRow"" , ""Asset"" , ""Campaign"" , ""CarePreauth"" , ""CarePreauthItem"" , ""Case"" , ""Certification"" , ""CertificationDef"" , ""CertificationSectionDef"" , ""CertificationStep"" , ""CertificationStepDef"" , ""ChannelProgram"" , ""ChannelProgramLevel"" , ""ChannelProgramMember"" , ""CloudServiceProvider"" , ""CloudServiceProviderApi"" , ""Contact"" , ""ContactPhone"" , ""ContactRequest"" , ""Contract"" , ""ContractLineItem"" , ""CoverageBenefit"" , ""CoverageBenefitItem"" , ""DandBCompany"" , ""DataSharingCustomerLocal"" , ""Document"" , ""DuplicateRecordSet"" , ""EditionDefinition"" , ""Employee"" , ""EngagementProgram"" , ""EngagementProgramNode"" , ""EngagementProgramVersion"" , ""Entitlement"" , ""EntitlementContact"" , ""EnvironmentHubInvitation"" , ""EnvironmentHubMember"" , ""FinServ__AccountAccountRelation__c"" , ""FinServ__Alert__c"" , ""FinServ__AssetsAndLiabilities__c"" , ""FinServ__BillingStatement__c"" , ""FinServ__Card__c"" , ""FinServ__ChargesAndFees__c"" , ""FinServ__ContactContactRelation__c"" , ""FinServ__Education__c"" , ""FinServ__Employment__c"" , ""FinServ__FinancialAccount__c"" , ""FinServ__FinancialAccountRole__c"" , ""FinServ__FinancialAccountTransaction__c"" , ""FinServ__FinancialGoal__c"" , ""FinServ__FinancialHolding__c"" , ""FinServ__IdentificationDocument__c"" , ""FinServ__LifeEvent__c"" , ""FinServ__ReciprocalRole__c"" , ""FinServ__Revenue__c"" , ""FinServ__RollupByLookupConfig__c"" , ""FinServ__RollupByLookupFilterCriteria__c"" , ""FinServ__Securities__c"" , ""FtestAccountChild"" , ""FtestChild"" , ""FtestError"" , ""FtestErrorChild"" , ""FtestGrandChild"" , ""FtestHiddenName"" , ""FtestMain"" , ""FtestOffCoreRecord"" , ""FtestPerson"" , ""FtestVirtualMain"" , ""Goal"" , ""GoalLink"" , ""Idea"" , ""IdeaTheme"" , ""IdentityDocument"" , ""IncludedLicenseDefinition"" , ""Individual"" , ""Lead"" , ""LicensingError"" , ""LicensingRequest"" , ""LiveAgentSession"" , ""LiveChatTranscript"" , ""LiveChatVisitor"" , ""Location"" , ""Macro"" , ""MaintenancePlan"" , ""ManagementAddOnLicense"" , ""ManagementEditionLicense"" , ""ManagementPlatformLicense"" , ""ManagementUserLicense"" , ""MemberPlan"" , ""MessagingEndUser"" , ""MessagingSession"" , ""Metric"" , ""MetricDataLink"" , ""MyCustomObject"" , ""NamespaceRegistry"" , ""OperatingHours"" , ""Opportunity"" , ""Order"" , ""PartnerFundAllocation"" , ""PartnerFundClaim"" , ""PartnerFundRequest"" , ""PartnerMarketingBudget"" , ""PaymentInstrument"" , ""PersonEducation"" , ""PersonEmployment"" , ""PersonList"" , ""PlanBenefit"" , ""PlanBenefitItem"" , ""PlatformLicenseDefinition"" , ""Pricebook2"" , ""Product2"" , ""ProductItem"" , ""ProductRequest"" , ""ProductTransfer"" , ""ProfileSkill"" , ""ProfileSkillEndorsement"" , ""ProfileSkillUser"" , ""PurchaserPlan"" , ""PurchaserPlanAssn"" , ""PushTopic"" , ""Question"" , ""QuickText"" , ""Quote"" , ""RegisteredMobileDevice"" , ""ReturnOrder"" , ""Scorecard"" , ""ScorecardAssociation"" , ""ScorecardMetric"" , ""ScratchOrgInfo"" , ""ServiceAppointment"" , ""ServiceContract"" , ""ServiceCrew"" , ""ServiceResource"" , ""ServiceTerritory"" , ""SettingUsageDefinition"" , ""ShapeRepresentation"" , ""Shipment"" , ""SignupRequest"" , ""SocialPost"" , ""Solution"" , ""SOSSession"" , ""StreamingChannel"" , ""Survey"" , ""SurveyInvitation"" , ""SurveyResponse"" , ""Tenant"" , ""TenantParameterMap"" , ""TimeSheet"" , ""UsageEntitlement"" , ""UsageFactor"" , ""UserLicenseDefinition"" , ""WorkCoaching"" , ""WorkFeedback"" , ""WorkFeedbackQuestion"" , ""WorkFeedbackQuestionSet"" , ""WorkFeedbackRequest"" , ""WorkFeedbackTemplate"" , ""WorkGoal"" , ""WorkGoalCollaborator"" , ""WorkGoalLink"" , ""WorkOrder"" , ""WorkPerformanceCycle"" , ""WorkReward"" , ""WorkRewardFund"" , ""WorkRewardFundType"" , ""WorkType"" , ""WorkUpgradeAction"" , ""WorkUpgradeCustomer"" , ""WorkUpgradeUser"" ]",--,null,picklist,FALSE,FALSE
Create Records,PermissionsCreate,FALSE,--,--,null,boolean,FALSE,TRUE
Read Records,PermissionsRead,FALSE,--,--,null,boolean,FALSE,TRUE
Edit Records,PermissionsEdit,FALSE,--,--,null,boolean,FALSE,TRUE
Delete Records,PermissionsDelete,FALSE,--,--,null,boolean,FALSE,TRUE
Read All Records,PermissionsViewAllRecords,FALSE,--,--,null,boolean,FALSE,TRUE
Edit All Records,PermissionsModifyAllRecords,FALSE,--,--,null,boolean,FALSE,TRUE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
