Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Permission Set License ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
Developer Name,DeveloperName,FALSE,--,--,null,string,FALSE,FALSE
Master Language,Language,FALSE,"[ ""en_US"" , ""de"" , ""es"" , ""fr"" , ""it"" , ""ja"" , ""sv"" , ""ko"" , ""zh_TW"" , ""zh_CN"" , ""pt_BR"" , ""nl_NL"" , ""da"" , ""th"" , ""fi"" , ""ru"" , ""es_MX"" , ""no"" ]",--,null,picklist,FALSE,FALSE
Permission Set License Label,MasterLabel,FALSE,--,--,null,string,FALSE,FALSE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Permission Set License Key,PermissionSetLicenseKey,FALSE,--,--,null,string,TRUE,FALSE
Total Licenses,TotalLicenses,FALSE,--,--,null,int,FALSE,FALSE
Status,Status,FALSE,"[ ""Active"" , ""Disabled"" ]",--,null,picklist,FALSE,FALSE
Expiration Date,ExpirationDate,TRUE,--,--,null,date,FALSE,FALSE
Send Email,MaximumPermissionsEmailSingle,FALSE,--,--,null,boolean,FALSE,FALSE
Mass Email,MaximumPermissionsEmailMass,FALSE,--,--,null,boolean,FALSE,FALSE
Edit Tasks,MaximumPermissionsEditTask,FALSE,--,--,null,boolean,FALSE,FALSE
Edit Events,MaximumPermissionsEditEvent,FALSE,--,--,null,boolean,FALSE,FALSE
Export Reports,MaximumPermissionsExportReport,FALSE,--,--,null,boolean,FALSE,FALSE
Import Personal Contacts,MaximumPermissionsImportPersonal,FALSE,--,--,null,boolean,FALSE,FALSE
Weekly Data Export,MaximumPermissionsDataExport,FALSE,--,--,null,boolean,FALSE,FALSE
Manage Users,MaximumPermissionsManageUsers,FALSE,--,--,null,boolean,FALSE,FALSE
Manage Public List Views,MaximumPermissionsEditPublicFilters,FALSE,--,--,null,boolean,FALSE,FALSE
Manage Public Classic Email Templates,MaximumPermissionsEditPublicTemplates,FALSE,--,--,null,boolean,FALSE,FALSE
Modify All Data,MaximumPermissionsModifyAllData,FALSE,--,--,null,boolean,FALSE,FALSE
