"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"PresenceDeclineReason","Presence Decline Reason","Id","Presence Decline Reason ID","id",18,false,"[]",,false,false,,"[]",false
"PresenceDeclineReason","Presence Decline Reason","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"PresenceDeclineReason","Presence Decline Reason","DeveloperName","Developer Name","string",80,false,"[]",,false,true,,"[]",false
"PresenceDeclineReason","Presence Decline Reason","Language","Master Language","picklist",40,true,"[]",,false,true,,"[""English"",""German"",""Spanish"",""French"",""Italian"",""Japanese"",""Swedish"",""Korean"",""Chinese (Traditional)"",""Chinese (Simplified)"",""Portuguese (Brazil)"",""Dutch"",""Danish"",""Thai"",""Finnish"",""Russian"",""Spanish (Mexico)"",""Norwegian""]",false
"PresenceDeclineReason","Presence Decline Reason","MasterLabel","Presence Decline Reason Name","string",80,false,"[]",,false,true,,"[]",false
"PresenceDeclineReason","Presence Decline Reason","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"PresenceDeclineReason","Presence Decline Reason","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"PresenceDeclineReason","Presence Decline Reason","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"PresenceDeclineReason","Presence Decline Reason","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"PresenceDeclineReason","Presence Decline Reason","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
