Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Profile ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Name,Name,FALSE,--,--,null,string,FALSE,TRUE
Send Email,PermissionsEmailSingle,FALSE,--,--,null,boolean,FALSE,TRUE
Mass Email,PermissionsEmailMass,FALSE,--,--,null,boolean,FALSE,TRUE
Edit Tasks,PermissionsEditTask,FALSE,--,--,null,boolean,FALSE,TRUE
Edit Events,PermissionsEditEvent,FALSE,--,--,null,boolean,FALSE,TRUE
Export Reports,PermissionsExportReport,FALSE,--,--,null,boolean,FALSE,TRUE
Import Personal Contacts,PermissionsImportPersonal,FALSE,--,--,null,boolean,FALSE,TRUE
Weekly Data Export,PermissionsDataExport,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Users,PermissionsManageUsers,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Public List Views,PermissionsEditPublicFilters,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Public Classic Email Templates,PermissionsEditPublicTemplates,FALSE,--,--,null,boolean,FALSE,TRUE
Modify All Data,PermissionsModifyAllData,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Cases,PermissionsManageCases,FALSE,--,--,null,boolean,FALSE,TRUE
Mass Edits from Lists,PermissionsMassInlineEdit,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Published Solutions,PermissionsManageSolutions,FALSE,--,--,null,boolean,FALSE,TRUE
Customize Application,PermissionsCustomizeApplication,FALSE,--,--,null,boolean,FALSE,TRUE
Edit Read Only Fields,PermissionsEditReadonlyFields,FALSE,--,--,null,boolean,FALSE,TRUE
Run Reports,PermissionsRunReports,FALSE,--,--,null,boolean,FALSE,TRUE
View Setup and Configuration,PermissionsViewSetup,FALSE,--,--,null,boolean,FALSE,TRUE
Transfer Record,PermissionsTransferAnyEntity,FALSE,--,--,null,boolean,FALSE,TRUE
Report Builder,PermissionsNewReportBuilder,FALSE,--,--,null,boolean,FALSE,TRUE
Activate Contracts,PermissionsActivateContract,FALSE,--,--,null,boolean,FALSE,TRUE
Activate Orders,PermissionsActivateOrder,FALSE,--,--,null,boolean,FALSE,TRUE
Import Leads,PermissionsImportLeads,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Leads,PermissionsManageLeads,FALSE,--,--,null,boolean,FALSE,TRUE
Transfer Leads,PermissionsTransferAnyLead,FALSE,--,--,null,boolean,FALSE,TRUE
View All Data,PermissionsViewAllData,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Public Documents,PermissionsEditPublicDocuments,FALSE,--,--,null,boolean,FALSE,TRUE
View Encrypted Data,PermissionsViewEncryptedData,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Letterheads,PermissionsEditBrandTemplates,FALSE,--,--,null,boolean,FALSE,TRUE
Edit HTML Templates,PermissionsEditHtmlTemplates,FALSE,--,--,null,boolean,FALSE,TRUE
Chatter Internal User,PermissionsChatterInternalUser,FALSE,--,--,null,boolean,FALSE,TRUE
Delete Activated Contracts,PermissionsDeleteActivatedContract,FALSE,--,--,null,boolean,FALSE,TRUE
Invite Customers To Chatter,PermissionsChatterInviteExternalUsers,FALSE,--,--,null,boolean,FALSE,TRUE
Send Stay-in-Touch Requests,PermissionsSendSitRequests,FALSE,--,--,null,boolean,FALSE,TRUE
Override Forecasts,PermissionsOverrideForecasts,FALSE,--,--,null,boolean,FALSE,TRUE
View All Forecasts,PermissionsViewAllForecasts,FALSE,--,--,null,boolean,FALSE,TRUE
Api Only User,PermissionsApiUserOnly,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Connected Apps,PermissionsManageRemoteAccess,FALSE,--,--,null,boolean,FALSE,TRUE
Drag-and-Drop Dashboard Builder,PermissionsCanUseNewDashboardBuilder,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Categories,PermissionsManageCategories,FALSE,--,--,null,boolean,FALSE,TRUE
Convert Leads,PermissionsConvertLeads,FALSE,--,--,null,boolean,FALSE,TRUE
Password Never Expires,PermissionsPasswordNeverExpires,FALSE,--,--,null,boolean,FALSE,TRUE
Use Team Reassignment Wizards,PermissionsUseTeamReassignWizards,FALSE,--,--,null,boolean,FALSE,TRUE
Edit Activated Orders,PermissionsEditActivatedOrders,FALSE,--,--,null,boolean,FALSE,TRUE
Download AppExchange Packages,PermissionsInstallMultiforce,FALSE,--,--,null,boolean,FALSE,TRUE
Upload AppExchange Packages,PermissionsPublishMultiforce,FALSE,--,--,null,boolean,FALSE,TRUE
Create and Own New Chatter Groups,PermissionsChatterOwnGroups,FALSE,--,--,null,boolean,FALSE,TRUE
Edit Opportunity Product Sales Price,PermissionsEditOppLineItemUnitPrice,FALSE,--,--,null,boolean,FALSE,TRUE
Create AppExchange Packages,PermissionsCreateMultiforce,FALSE,--,--,null,boolean,FALSE,TRUE
Bulk API Hard Delete,PermissionsBulkApiHardDelete,FALSE,--,--,null,boolean,FALSE,TRUE
Deploy Change Sets,PermissionsInboundMigrationToolsUser,FALSE,--,--,null,boolean,FALSE,TRUE
Import Solutions,PermissionsSolutionImport,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Call Centers,PermissionsManageCallCenters,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Synonyms,PermissionsManageSynonyms,FALSE,--,--,null,boolean,FALSE,TRUE
Create and Upload Change Sets,PermissionsOutboundMigrationToolsUser,FALSE,--,--,null,boolean,FALSE,TRUE
View Content in Portals,PermissionsViewContent,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Email Client Configurations,PermissionsManageEmailClientConfig,FALSE,--,--,null,boolean,FALSE,TRUE
Send Outbound Messages,PermissionsEnableNotifications,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Data Integrations,PermissionsManageDataIntegrations,FALSE,--,--,null,boolean,FALSE,TRUE
Create Content Deliveries,PermissionsDistributeFromPersWksp,FALSE,--,--,null,boolean,FALSE,TRUE
View Data Categories,PermissionsViewDataCategories,FALSE,--,--,null,boolean,FALSE,TRUE
Manage Data Categories,PermissionsManageDataCategories,FALSE,--,--,null,boolean,FALSE,TRUE
Author Apex,PermissionsAuthorApex,FALSE,--,--,null,boolean,FALSE,TRUE
