Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Quote ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Owner ID,OwnerId,FALSE,--,"[ ""Group"", ""User"" ]",Owner,reference,FALSE,TRUE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
Quote Name,Name,FALSE,--,--,null,string,FALSE,TRUE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Last Viewed Date,LastViewedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Last Referenced Date,LastReferencedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Opportunity ID,OpportunityId,FALSE,--,"[ ""Opportunity"" ]",Opportunity,reference,FALSE,TRUE
Price Book ID,Pricebook2Id,TRUE,--,"[ ""Pricebook2"" ]",Pricebook2,reference,FALSE,TRUE
Contact ID,ContactId,TRUE,--,"[ ""Contact"" ]",Contact,reference,FALSE,TRUE
Quote Number,QuoteNumber,FALSE,--,--,null,string,FALSE,FALSE
Syncing,IsSyncing,FALSE,--,--,null,boolean,FALSE,FALSE
Shipping and Handling,ShippingHandling,TRUE,--,--,null,currency,FALSE,TRUE
Tax,Tax,TRUE,--,--,null,currency,FALSE,TRUE
Status,Status,TRUE,"[ ""Draft"" , ""Needs Review"" , ""In Review"" , ""Approved"" , ""Rejected"" , ""Presented"" , ""Accepted"" , ""Denied"" ]",--,null,picklist,FALSE,TRUE
Expiration Date,ExpirationDate,TRUE,--,--,null,date,FALSE,TRUE
Description,Description,TRUE,--,--,null,textarea,FALSE,TRUE
Subtotal,Subtotal,TRUE,--,--,null,currency,FALSE,FALSE
Total Price,TotalPrice,TRUE,--,--,null,currency,FALSE,FALSE
Line Items,LineItemCount,TRUE,--,--,null,int,FALSE,FALSE
Bill To Street,BillingStreet,TRUE,--,--,null,textarea,FALSE,TRUE
Bill To City,BillingCity,TRUE,--,--,null,string,FALSE,TRUE
Bill To State/Province,BillingState,TRUE,--,--,null,string,FALSE,TRUE
Bill To Zip/Postal Code,BillingPostalCode,TRUE,--,--,null,string,FALSE,TRUE
Bill To Country,BillingCountry,TRUE,--,--,null,string,FALSE,TRUE
Bill To Latitude,BillingLatitude,TRUE,--,--,null,double,FALSE,TRUE
Bill To Longitude,BillingLongitude,TRUE,--,--,null,double,FALSE,TRUE
Bill To Geocode Accuracy,BillingGeocodeAccuracy,TRUE,"[ ""Address"" , ""NearAddress"" , ""Block"" , ""Street"" , ""ExtendedZip"" , ""Zip"" , ""Neighborhood"" , ""City"" , ""County"" , ""State"" , ""Unknown"" ]",--,null,picklist,FALSE,TRUE
Bill To,BillingAddress,TRUE,--,--,null,address,FALSE,FALSE
Ship To Street,ShippingStreet,TRUE,--,--,null,textarea,FALSE,TRUE
Ship To City,ShippingCity,TRUE,--,--,null,string,FALSE,TRUE
Ship To State/Province,ShippingState,TRUE,--,--,null,string,FALSE,TRUE
Ship To Zip/Postal Code,ShippingPostalCode,TRUE,--,--,null,string,FALSE,TRUE
Ship To Country,ShippingCountry,TRUE,--,--,null,string,FALSE,TRUE
Ship To Latitude,ShippingLatitude,TRUE,--,--,null,double,FALSE,TRUE
Ship To Longitude,ShippingLongitude,TRUE,--,--,null,double,FALSE,TRUE
