Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Record Type ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Name,Name,FALSE,--,--,null,string,FALSE,TRUE
Record Type Name,DeveloperName,FALSE,--,--,null,string,FALSE,TRUE
Namespace Prefix,NamespacePrefix,TRUE,--,--,null,string,FALSE,FALSE
Description,Description,TRUE,--,--,null,string,FALSE,TRUE
Business Process ID,BusinessProcessId,TRUE,--,"[ ""BusinessProcess"" ]",null,reference,FALSE,TRUE
Sobject Type Name,SobjectType,FALSE,"[ ""Account"" , ""Announcement"" , ""Asset"" , ""AssetRelationship"" , ""AssistantProgress"" , ""BusinessAccount"" , ""Campaign"" , ""CampaignMember"" , ""Case"" , ""CollaborationGroup"" , ""CollaborationGroupRank"" , ""CollaborationGroupRecord"" , ""ComponentResponseCache"" , ""Contact"" , ""ContentVersion"" , ""Contract"" , ""CustomSettingNameIndex"" , ""DuplicateErrorLog"" , ""DuplicateRecordItem"" , ""DuplicateRecordSet"" , ""Event"" , ""FileInspectionResult"" , ""FileSearchActivity"" , ""FinServ__AccountAccountRelation__c"" , ""FinServ__Alert__c"" , ""FinServ__AssetsAndLiabilities__c"" , ""FinServ__BillingStatement__c"" , ""FinServ__Card__c"" , ""FinServ__ChargesAndFees__c"" , ""FinServ__ContactContactRelation__c"" , ""FinServ__Education__c"" , ""FinServ__Employment__c"" , ""FinServ__FinancialAccount__c"" , ""FinServ__FinancialAccountRole__c"" , ""FinServ__FinancialAccountTransaction__c"" , ""FinServ__FinancialGoal__c"" , ""FinServ__FinancialHolding__c"" , ""FinServ__IdentificationDocument__c"" , ""FinServ__LifeEvent__c"" , ""FinServ__ReciprocalRole__c"" , ""FinServ__Revenue__c"" , ""FinServ__RollupByLookupConfig__c"" , ""FinServ__RollupByLookupFilterCriteria__c"" , ""FinServ__Securities__c"" , ""FlowRecordRelation"" , ""FlowStageRelation"" , ""Idea"" , ""InboundSocialPost"" , ""Lead"" , ""ListEmail"" , ""ListEmailRecipientSource"" , ""ListEmailSentResult"" , ""Macro"" , ""MacroAction"" , ""MacroInstruction"" , ""ManagedContentBlock"" , ""ManagedContentBlockVersion"" , ""Opportunity"" , ""Order"" , ""OrgDeleteRequest"" , ""PersonAccount"" , ""PersonalizationResource"" , ""Pricebook2"" , ""Product2"" , ""ProfileSkill"" , ""ProfileSkillEndorsement"" , ""ProfileSkillUser"" , ""QuickText"" , ""Quote"" , ""RecordAction"" , ""RecordOrigin"" , ""RequestsForAccessSIQ"" , ""Scorecard"" , ""ScorecardAssociation"" , ""ScorecardMetric"" , ""SearchActivity"" , ""SearchPromotionRule"" , ""SetupAssistantAnswer"" , ""SetupAssistantProgress"" , ""SetupFlowProgress"" , ""SiqUserBlacklist"" , ""Solution"" , ""StreamActivityAccess"" , ""SyncTransactionLog"" , ""Task"" , ""UserMetrics"" , ""UserNavItem"" , ""WorkAccess"" , ""WorkBadge"" , ""WorkBadgeDefinition"" , ""WorkThanks"" ]",--,null,picklist,FALSE,FALSE
Active,IsActive,FALSE,--,--,null,boolean,FALSE,TRUE
Is Person Type,IsPersonType,FALSE,--,--,null,boolean,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
