"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ServiceChannel","Service Channel","Id","Service Channel ID","id",18,false,"[]",,false,false,,"[]",false
"ServiceChannel","Service Channel","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ServiceChannel","Service Channel","DeveloperName","Developer Name","string",80,false,"[]",,false,true,,"[]",false
"ServiceChannel","Service Channel","Language","Master Language","picklist",40,true,"[]",,false,true,,"[""English"",""German"",""Spanish"",""French"",""Italian"",""Japanese"",""Swedish"",""Korean"",""Chinese (Traditional)"",""Chinese (Simplified)"",""Portuguese (Brazil)"",""Dutch"",""Danish"",""Thai"",""Finnish"",""Russian"",""Spanish (Mexico)"",""Norwegian""]",false
"ServiceChannel","Service Channel","MasterLabel","Service Channel Name","string",80,false,"[]",,false,true,,"[]",false
"ServiceChannel","Service Channel","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ServiceChannel","Service Channel","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ServiceChannel","Service Channel","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ServiceChannel","Service Channel","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ServiceChannel","Service Channel","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ServiceChannel","Service Channel","RelatedEntity","Custom Object Definition ID","picklist",255,false,"[]",,true,true,,"[null,null,null,null,null,null,null]",false
