"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ServicePresenceStatus","Service Presence Status","Id","Service Presence Status ID","id",18,false,"[]",,false,false,,"[]",false
"ServicePresenceStatus","Service Presence Status","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ServicePresenceStatus","Service Presence Status","DeveloperName","Developer Name","string",80,false,"[]",,false,true,,"[]",false
"ServicePresenceStatus","Service Presence Status","Language","Master Language","picklist",40,true,"[]",,false,true,,"[""English"",""German"",""Spanish"",""French"",""Italian"",""Japanese"",""Swedish"",""Korean"",""Chinese (Traditional)"",""Chinese (Simplified)"",""Portuguese (Brazil)"",""Dutch"",""Danish"",""Thai"",""Finnish"",""Russian"",""Spanish (Mexico)"",""Norwegian""]",false
"ServicePresenceStatus","Service Presence Status","MasterLabel","Status Name","string",80,false,"[]",,false,true,,"[]",false
"ServicePresenceStatus","Service Presence Status","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ServicePresenceStatus","Service Presence Status","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ServicePresenceStatus","Service Presence Status","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ServicePresenceStatus","Service Presence Status","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ServicePresenceStatus","Service Presence Status","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
