Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
User ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Username,Username,FALSE,--,--,null,string,FALSE,TRUE
Last Name,LastName,FALSE,--,--,null,string,FALSE,TRUE
First Name,FirstName,TRUE,--,--,null,string,FALSE,TRUE
Middle Name,MiddleName,TRUE,--,--,null,string,FALSE,TRUE
Suffix,Suffix,TRUE,--,--,null,string,FALSE,TRUE
Full Name,Name,FALSE,--,--,null,string,FALSE,FALSE
Company Name,CompanyName,TRUE,--,--,null,string,FALSE,TRUE
Division,Division,TRUE,--,--,null,string,FALSE,TRUE
Department,Department,TRUE,--,--,null,string,FALSE,TRUE
Title,Title,TRUE,--,--,null,string,FALSE,TRUE
Street,Street,TRUE,--,--,null,textarea,FALSE,TRUE
City,City,TRUE,--,--,null,string,FALSE,TRUE
State/Province,State,TRUE,--,--,null,string,FALSE,TRUE
Zip/Postal Code,PostalCode,TRUE,--,--,null,string,FALSE,TRUE
Country,Country,TRUE,--,--,null,string,FALSE,TRUE
Latitude,Latitude,TRUE,--,--,null,double,FALSE,TRUE
Longitude,Longitude,TRUE,--,--,null,double,FALSE,TRUE
Geocode Accuracy,GeocodeAccuracy,TRUE,"[ ""Address"" , ""NearAddress"" , ""Block"" , ""Street"" , ""ExtendedZip"" , ""Zip"" , ""Neighborhood"" , ""City"" , ""County"" , ""State"" , ""Unknown"" ]",--,null,picklist,FALSE,TRUE
Address,Address,TRUE,--,--,null,address,FALSE,FALSE
Email,Email,FALSE,--,--,null,email,FALSE,TRUE
AutoBcc,EmailPreferencesAutoBcc,FALSE,--,--,null,boolean,FALSE,TRUE
AutoBccStayInTouch,EmailPreferencesAutoBccStayInTouch,FALSE,--,--,null,boolean,FALSE,TRUE
StayInTouchReminder,EmailPreferencesStayInTouchReminder,FALSE,--,--,null,boolean,FALSE,TRUE
Email Sender Address,SenderEmail,TRUE,--,--,null,email,FALSE,TRUE
Email Sender Name,SenderName,TRUE,--,--,null,string,FALSE,TRUE
Email Signature,Signature,TRUE,--,--,null,textarea,FALSE,TRUE
Stay-in-Touch Email Subject,StayInTouchSubject,TRUE,--,--,null,string,FALSE,TRUE
Stay-in-Touch Email Signature,StayInTouchSignature,TRUE,--,--,null,textarea,FALSE,TRUE
Stay-in-Touch Email Note,StayInTouchNote,TRUE,--,--,null,string,FALSE,TRUE
Phone,Phone,TRUE,--,--,null,phone,FALSE,TRUE
Fax,Fax,TRUE,--,--,null,phone,FALSE,TRUE
Mobile,MobilePhone,TRUE,--,--,null,phone,FALSE,TRUE
Alias,Alias,FALSE,--,--,null,string,FALSE,TRUE
Nickname,CommunityNickname,FALSE,--,--,null,string,FALSE,TRUE
User Photo badge text overlay,BadgeText,TRUE,--,--,null,string,FALSE,FALSE
Active,IsActive,FALSE,--,--,null,boolean,FALSE,TRUE
Time Zone,TimeZoneSidKey,FALSE,"[ ""Pacific/Kiritimati"" , ""Pacific/Enderbury"" , ""Pacific/Tongatapu"" , ""Pacific/Chatham"" , ""Asia/Kamchatka"" , ""Pacific/Auckland"" , ""Pacific/Fiji"" , ""Pacific/Guadalcanal"" , ""Pacific/Norfolk"" , ""Australia/Lord_Howe"" , ""Australia/Brisbane"" , ""Australia/Sydney"" , ""Australia/Adelaide"" , ""Australia/Darwin"" , ""Asia/Seoul"" , ""Asia/Tokyo"" , ""Asia/Hong_Kong"" , ""Asia/Kuala_Lumpur"" , ""Asia/Manila"" , ""Asia/Shanghai"" , ""Asia/Singapore"" , ""Asia/Taipei"" , ""Australia/Perth"" , ""Asia/Bangkok"" , ""Asia/Ho_Chi_Minh"" , ""Asia/Jakarta"" , ""Asia/Rangoon"" , ""Asia/Dhaka"" , ""Asia/Kathmandu"" , ""Asia/Colombo"" , ""Asia/Kolkata"" , ""Asia/Karachi"" , ""Asia/Tashkent"" , ""Asia/Yekaterinburg"" , ""Asia/Kabul"" , ""Asia/Tehran"" , ""Asia/Baku"" , ""Asia/Dubai"" , ""Asia/Tbilisi"" , ""Asia/Yerevan"" , ""Africa/Nairobi"" , ""Asia/Baghdad"" , ""Asia/Beirut"" , ""Asia/Jerusalem"" , ""Asia/Kuwait"" , ""Asia/Riyadh"" , ""Europe/Athens"" , ""Europe/Bucharest"" , ""Europe/Helsinki"" , ""Europe/Istanbul"" , ""Europe/Minsk"" , ""Europe/Moscow"" , ""Africa/Cairo"" , ""Africa/Johannesburg"" , ""Europe/Amsterdam"" , ""Europe/Berlin"" , ""Europe/Brussels"" , ""Europe/Paris"" , ""Europe/Prague"" , ""Europe/Rome"" , ""Africa/Algiers"" , ""Africa/Casablanca"" , ""Europe/Dublin"" , ""Europe/Lisbon"" , ""Europe/London"" , ""America/Scoresbysund"" , ""Atlantic/Azores"" , ""GMT"" , ""Atlantic/Cape_Verde"" , ""Atlantic/South_Georgia"" , ""America/St_Johns"" , ""America/Argentina/Buenos_Aires"" , ""America/Halifax"" , ""America/Sao_Paulo"" , ""Atlantic/Bermuda"" , ""America/Caracas"" , ""America/Indiana/Indianapolis"" , ""America/New_York"" , ""America/Puerto_Rico"" , ""America/Santiago"" , ""America/Bogota"" , ""America/Chicago"" , ""America/Lima"" , ""America/Mexico_City"" , ""America/Panama"" , ""America/Denver"" , ""America/El_Salvador"" , ""America/Mazatlan"" , ""America/Los_Angeles"" , ""America/Phoenix"" , ""America/Tijuana"" , ""America/Anchorage"" , ""Pacific/Pitcairn"" , ""America/Adak"" , ""Pacific/Gambier"" , ""Pacific/Marquesas"" , ""Pacific/Honolulu"" , ""Pacific/Niue"" , ""Pacific/Pago_Pago"" ]",--,null,picklist,FALSE,TRUE
Role ID,UserRoleId,TRUE,--,"[ ""UserRole"" ]",UserRole,reference,FALSE,TRUE
