Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Record ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
Name,Name,TRUE,--,--,null,string,FALSE,TRUE
Location,SetupOwnerId,TRUE,--,"[ ""Organization"", ""Profile"", ""User"" ]",SetupOwner,reference,FALSE,TRUE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Interaction Update Frequency,FinServ__InteractionUpdateFrequency__c,TRUE,--,--,null,double,FALSE,TRUE
Enable Referrer Score,FinServ__ReferrerScoreCalcEnabled__c,FALSE,--,--,null,boolean,FALSE,TRUE
Rejected Referral Status,FinServ__RejectedReferralStatus__c,TRUE,--,--,null,string,FALSE,TRUE
Enable Group Record Rollups,FinServ__EnableGroupRecordRollups__c,FALSE,--,--,null,boolean,FALSE,TRUE
Enable Rollup Summary,FinServ__EnableRollupSummary__c,FALSE,--,--,null,boolean,FALSE,TRUE
